row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
4001,Khetan Merchandise  Pvt.  Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:41:19.260108
4002,Khetan Tracon Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:41:29.086439
4003,Khetawat Financial Resources Private Limited,,,,N/A,https://www.khetawatfin.com/privacy-policy,serper,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Regulatory text: 'reserve bank of india' | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'nbfc'",https://www.khetawatfin.com/privacy-policy,,2026-02-15T07:41:38.128539
4004,Khimji Finserve Private Limited (Formerly known as Vee Gee Credit Capital Private Limited),,,,N/A,https://khimjifinserve.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Registered office address found | Regulatory text: 'rbi registered' | Corporate email @khimjifinserve.com | Ownership signals: ['about us', 'contact us', 'management team'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://khimjifinserve.com/,,2026-02-15T07:41:42.048744
4005,Khiroria Builders & Contractors (P) Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:41:43.838429
4006,Khiwasara Finance & Leasing Ltd.(Converted From A To B),,,,N/A,https://www.khiwasara.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T07:41:51.988325
4007,Khorakiwala Holdings & Investments Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:41:52.782547
4008,Khosya Finlease (P) Ltd.,,,,N/A,https://khosyafinlease.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Registered office address found | Regulatory text: 'non-banking financial company' | Corporate email @khosyafinlease.com | Ownership signals: ['contact us', 'privacy policy', 'terms and conditions'] | Industry keyword: 'nbfc' | Company name in title (94%)",https://khosyafinlease.com/,,2026-02-15T07:41:59.887761
4009,Khushaal Finance Private Limited,,,,N/A,https://www.khushaal.co.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T07:42:05.113704
4010,Khushboo Capital Finance Limited,,,,N/A,https://ww9.khushboo.com/,direct_domain,REVIEW_REQUIRED,40,Company name on page (100% match) | Company name in title (50%),,,2026-02-15T07:42:28.077730
4011,Khushboo Finlease Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:42:39.865452
4012,Khushbu Auto Finance Limited,,,,N/A,https://atulauto.co.in/wp-content/uploads/2024/11/fs-2021-22-khushbu-auto-finance-limited.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-15T07:42:46.962156
4013,Khyati Finseck Private Limited,,,,N/A,https://www.khyatifinseck.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @khyatifinseck.com | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'nbfc' | Company name in title (100%)",https://www.khyatifinseck.com/,,2026-02-15T07:42:49.993668
4014,Kia Ora Ventures Private Limited,,,,N/A,https://www.kiaora.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,70,"Company name on page (67% match) | Corporate email @kiaora.com. | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'investment'",https://www.kiaora.com/,,2026-02-15T07:42:54.669690
4015,Kiddy Plast Limited (Previously Known as Kiddly),,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:42:56.170846
4016,Kiduja India Ltd.,,,,N/A,https://kiduja.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,90,"Company name on page (100% match) | Regulatory text: 'reserve bank of india' | Ownership signals: ['about us', 'contact us', 'board of directors'] | Industry keyword: 'nbfc' | Company name in title (73%)",https://kiduja.com/,,2026-02-15T07:43:04.662588
4017,Kifs Financial Services Limited,,,,N/A,https://kifsfinance.com/assets/pdf/newspaper-notice-under-iepf-rules-01072022.pdf,serper,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Regulatory text: 'registered with rbi' | Corporate email @kifshousing.com | Ownership signals: ['our team', 'careers', 'login'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://kifshousing.com/the-kifs-group/,,2026-02-15T07:43:26.126567
