Bank_Name,Category
UCO Bank,State Bank of India (SBI)
Union Bank of India,State Bank of India (SBI)
Bank of Baroda,Nationalised Banks
Bank of India,Nationalised Banks
"Bank of Maharashtra, Lok Mangal",Nationalised Banks
Canara Bank,Nationalised Banks
Central Bank of India,Nationalised Banks
Indian Overseas Bank,Nationalised Banks
Indian Bank,Nationalised Banks
Punjab National Bank,Nationalised Banks
Union Bank of India,Nationalised Banks
"Punjab & Sind Bank, Bank",Nationalised Banks
UCO Bank,Nationalised Banks
Axis Bank Limited,Private Sector Banks – Indian Banks
Bandhan Bank Limited,Private Sector Banks – Indian Banks
CSB Bank Limited,Private Sector Banks – Indian Banks
City Union Bank Limited,Private Sector Banks – Indian Banks
DCB Bank Limited,Private Sector Banks – Indian Banks
Dhanlaxmi Bank Limited,Private Sector Banks – Indian Banks
Federal Bank Limited,Private Sector Banks – Indian Banks
HDFC Bank Limited,Private Sector Banks – Indian Banks
ICICI Bank Limited,Private Sector Banks – Indian Banks
IndusInd Bank Limited,Private Sector Banks – Indian Banks
IDFC FIRST Bank Limited,Private Sector Banks – Indian Banks
Jammu & Kashmir Bank Limited,Private Sector Banks – Indian Banks
Karnataka Bank Limited,Private Sector Banks – Indian Banks
Karur Vysya Bank Limited,Private Sector Banks – Indian Banks
Kotak Mahindra Bank Limited,Private Sector Banks – Indian Banks
Nainital Bank Limited,Private Sector Banks – Indian Banks
RBL Bank Limited,Private Sector Banks – Indian Banks
South Indian Bank Limited,Private Sector Banks – Indian Banks
Tamilnad Mercantile Bank Limited,Private Sector Banks – Indian Banks
YES Bank Limited,Private Sector Banks – Indian Banks
IDBI Bank Limited,Private Sector Banks – Indian Banks
AB Bank PLC,Private Sector Banks – Foreign Banks
American Express Banking Corporation,Private Sector Banks – Foreign Banks
Australia and New Zealand banking group ltd,Private Sector Banks – Foreign Banks
Bank of America,Private Sector Banks – Foreign Banks
Bank of Bahrain and Kuwait B.S.C,Private Sector Banks – Foreign Banks
"Bank of Ceylon No. 20/21, Casa Major",Private Sector Banks – Foreign Banks
"Bank of Nova Scotia 93-94, 3 North Avenue, Maker Maxity, Bandra Kurla",Private Sector Banks – Foreign Banks
Bank of China Limited,Private Sector Banks – Foreign Banks
Barclays Bank Plc,Private Sector Banks – Foreign Banks
BNP Paribas,Private Sector Banks – Foreign Banks
Citibank N.A,Private Sector Banks – Foreign Banks
Cooperatieve Rabobank U.A,Private Sector Banks – Foreign Banks
Credit Agricole Corporate and Investment Bank,Private Sector Banks – Foreign Banks
"CTBC Bank Co., Limited",Private Sector Banks – Foreign Banks
DBS Bank India Limited,Private Sector Banks – Foreign Banks
Deutsche Bank A.G,Private Sector Banks – Foreign Banks
Doha Bank Q.P.S.C,Private Sector Banks – Foreign Banks
Emirates NBD Bank P.J.S.C,Private Sector Banks – Foreign Banks
First Abu Dhabi Bank PJSC Unit,Private Sector Banks – Foreign Banks
FirstRand Bank Limited,Private Sector Banks – Foreign Banks
Hong Kong and Shanghai Banking Corporation Limited,Private Sector Banks – Foreign Banks
Industrial and Commercial Bank of China Limited,Private Sector Banks – Foreign Banks
Industrial Bank of Korea,Private Sector Banks – Foreign Banks
J.P. Morgan Chase Bank N.A,Private Sector Banks – Foreign Banks
JSC VTB Bank Lobby,Private Sector Banks – Foreign Banks
KEB Hana Bank,Private Sector Banks – Foreign Banks
Kookmin Bank Unit No. 2B/2,Private Sector Banks – Foreign Banks
Mashreqbank P.S.C,Private Sector Banks – Foreign Banks
Mizuho Bank Ltd,Private Sector Banks – Foreign Banks
"MUFG Bank, Ltd",Private Sector Banks – Foreign Banks
NatWest Markets plc,Private Sector Banks – Foreign Banks
"NongHyup Bank Advant IT Park, Unit No",Private Sector Banks – Foreign Banks
PT Bank Maybank Indonesia TBK,Private Sector Banks – Foreign Banks
Qatar National Bank (Q.P.S.C),Private Sector Banks – Foreign Banks
SBM Bank (India) limited,Private Sector Banks – Foreign Banks
Sberbank,Private Sector Banks – Foreign Banks
Shinhan Bank Unit No. 701 /,Private Sector Banks – Foreign Banks
Societe Generale,Private Sector Banks – Foreign Banks
Sonali Bank PLC,Private Sector Banks – Foreign Banks
"Standard Chartered Bank Crescenzo Parini, 3A",Private Sector Banks – Foreign Banks
Sumitomo Mitsui Banking Corporation,Private Sector Banks – Foreign Banks
United Overseas Bank Limited,Private Sector Banks – Foreign Banks
UBS AG,Private Sector Banks – Foreign Banks
Woori Bank Unit No,Private Sector Banks – Foreign Banks
Krishna Bhima Samruddhi LAB Ltd,Local Area Banks (LABs)
Airtel Payments Bank Limited,Payments Banks (PBs)
India Post Payments Bank Limited,Payments Banks (PBs)
Fino Payments Bank Limited,Payments Banks (PBs)
Paytm Payments Bank Limited,Payments Banks (PBs)
Jio Payments Bank Limited,Payments Banks (PBs)
NSDL Payments Bank Limited,Payments Banks (PBs)
The Assam Co-operative Apex Bank Ltd.,State Co-operative Banks
The Chhattisgarh Rajya Sahakari Bank Maryadit,State Co-operative Banks
The Madhya Pradesh Rajya Sahakari Bank Maryadit,State Co-operative Banks
The Meghalaya Co-operative Apex Bank Ltd.,State Co-operative Banks
The Mizoram Co-operative Apex Bank Ltd.,State Co-operative Banks
The Tamil Nadu State Apex Co-operative Bank Ltd.,State Co-operative Banks
The Chhatisgarh Rajya Sahakari Bank Maryadit,State Co-operative Banks
The Haryana State Co-operative Apex Bank Ltd.,State Co-operative Banks
The Karnataka State Co-operative Apex Bank Ltd.,State Co-operative Banks
The Telangana State Cooperative Apex Bank Ltd.,State Co-operative Banks
The Arunachal Pradesh State Co-operative Apex Bank Ltd.,State Co-operative Banks
Andhra Pradesh Grameena Bank,Regional Rural Banks (RRBs)
Assam Gramin Bank,Regional Rural Banks (RRBs)
Arunachal Pradesh Rural Bank,Regional Rural Banks (RRBs)
Bihar Gramin Bank,Regional Rural Banks (RRBs)
Chhattisgarh Gramin Bank,Regional Rural Banks (RRBs)
Gujarat Gramin Bank,Regional Rural Banks (RRBs)
Haryana Gramin Bank,Regional Rural Banks (RRBs)
Himachal Pradesh Gramin Bank,Regional Rural Banks (RRBs)
Jharkhand Gramin Bank,Regional Rural Banks (RRBs)
Jammu and Kashmir Grameen Bank,Regional Rural Banks (RRBs)
Karnataka Grameena Bank,Regional Rural Banks (RRBs)
Kerala Grameena Bank,Regional Rural Banks (RRBs)
Maharashtra Gramin Bank,Regional Rural Banks (RRBs)
Madhya Pradesh Gramin Bank,Regional Rural Banks (RRBs)
"Manipur Rural Bank Keishampat, Imphal West - 795 001 Manipur",Regional Rural Banks (RRBs)
Meghalaya Rural Bank,Regional Rural Banks (RRBs)
Mizoram Rural Bank,Regional Rural Banks (RRBs)
Nagaland Rural Bank,Regional Rural Banks (RRBs)
"Odisha Grameen Bank Bhubaneswar AT - Gandamunda, PO - Khandagiri Jagamara-Sundarpada",Regional Rural Banks (RRBs)
Punjab Gramin Bank,Regional Rural Banks (RRBs)
Puducherry Grama Bank,Regional Rural Banks (RRBs)
Rajasthan Gramin Bank,Regional Rural Banks (RRBs)
Tamil Nadu Grama Bank,Regional Rural Banks (RRBs)
Telangana Grameena Bank,Regional Rural Banks (RRBs)
Tripura Gramin Bank,Regional Rural Banks (RRBs)
Uttar Pradesh Gramin Bank,Regional Rural Banks (RRBs)
"Uttarakhand Gramin Bank 8A, IT Park, Sahastradhara",Regional Rural Banks (RRBs)
West Bengal Gramin Bank,Regional Rural Banks (RRBs)
Assam Gramin Bank - Bank has not migrated to new domain,Regional Rural Banks (RRBs)
Maharashtra Gramin Bank - Bank has not migrated to new domain,Regional Rural Banks (RRBs)
Manipur Rural Bank,Regional Rural Banks (RRBs)
Odisha Grameen Bank,Regional Rural Banks (RRBs)
Uttarakhand Gramin Bank,Regional Rural Banks (RRBs)
National Bank for Agriculture and Rural Development,Financial Institutions
Export-Import Bank of India,Financial Institutions
National Housing Bank,Financial Institutions
Small Industries Development Bank of India,Financial Institutions
AB Bank Ltd.,Foreign Banks Having Presence in India
American Express Banking Corporation,Foreign Banks Having Presence in India
Australia and New Zealand Banking Group Ltd.,Foreign Banks Having Presence in India
Barclays Bank Plc.,Foreign Banks Having Presence in India
Bank of America,Foreign Banks Having Presence in India
Bank of Bahrain and Kuwait B.S.C.,Foreign Banks Having Presence in India
Bank of Ceylon,Foreign Banks Having Presence in India
Bank of China Limited,Foreign Banks Having Presence in India
Bank of Nova Scotia,Foreign Banks Having Presence in India
BNP Paribas,Foreign Banks Having Presence in India
Citibank N.A.,Foreign Banks Having Presence in India
Cooperatieve Rabobank U.A./ Coöperatieve Centrale Raiffeisen-Boerenleenbank B.A.,Foreign Banks Having Presence in India
Credit Agricole Corporate and Investment Bank,Foreign Banks Having Presence in India
"CTBC Bank Co., Ltd.",Foreign Banks Having Presence in India
DBS Bank India Limited,Foreign Banks Having Presence in India
Deutsche Bank A.G.,Foreign Banks Having Presence in India
Doha Bank Q.P.S.C,Foreign Banks Having Presence in India
Emirates NBD Bank P.J.S.C,Foreign Banks Having Presence in India
First Abu Dhabi Bank PJSC,Foreign Banks Having Presence in India
FirstRand Bank Limited,Foreign Banks Having Presence in India
Hong Kong and Shanghai Banking Corporation Limited,Foreign Banks Having Presence in India
Industrial and Commercial Bank of China,Foreign Banks Having Presence in India
Industrial Bank of Korea,Foreign Banks Having Presence in India
J.P. Morgan Chase Bank N.A.,Foreign Banks Having Presence in India
JSC VTB Bank,Foreign Banks Having Presence in India
KEB Hana Bank,Foreign Banks Having Presence in India
Kookmin Bank,Foreign Banks Having Presence in India
Mashreq bank P.S.C,Foreign Banks Having Presence in India
Mizuho Bank Ltd.,Foreign Banks Having Presence in India
"MUFG Bank, Ltd.",Foreign Banks Having Presence in India
Nong Hyup Bank,Foreign Banks Having Presence in India
NatWest Markets Plc,Foreign Banks Having Presence in India
PT Bank Maybank Indonesia TBK,Foreign Banks Having Presence in India
Qatar National Bank (Q.P.S.C.),Foreign Banks Having Presence in India
Sberbank,Foreign Banks Having Presence in India
