id,created_at,last_updated,company_name,company_type,website,aum_crores,aum_category,last_year_revenue,is_listed,stock_symbol,primary_loan_segments,primary_product,product_types,hq_location,hq_state,operating_states,operating_intensity,pan_india,rbi_category,rbi_registration_number,recent_funding,recent_funding_amount,recent_funding_year,established_year,employee_count,ticket_size_min,ticket_size_max,has_subsidiaries,phone,email,data_source,extraction_status,error
224,2026-02-24T16:21:26.507766,2026-02-24T16:21:26.507770,121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited),NBFC,https://121finance.com/,,,,False,,"[""Business Loan"", ""Personal Loan"", ""MSME Loan"", ""Loan Against Property"", ""Working Capital""]",Loans,"[""Business Loan"", ""Personal Loan"", ""MSME Loan"", ""Loan Against Property"", ""Working Capital""]","Hyderabad, Telangana",Telangana,"[""Telangana""]",Single State,False,NBFC,ROW-1,,,,1994,,,,False,+91 40 4850 1212,info@121finance.com,gemini+csv_verified,success,
225,2026-02-24T16:21:42.478929,2026-02-24T16:21:42.478932,4Fin Finance Private Limited,NBFC,https://4fin.in/,,,,False,,"[""MSME Loan"", ""Personal Loan"", ""Business Loan""]",MSME Loan,"[""MSME Loan"", ""Personal Loan"", ""Business Loan""]","New Delhi, Delhi",Delhi,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,NBFC-ICC,ROW-4,,,,2022,,,,False,+91 99999 44444,info@4fin.in,gemini+csv_verified,success,
226,2026-02-24T16:22:00.313561,2026-02-24T16:22:00.313565,A R C Finance Ltd,NBFC,http://www.arcfinance.in/,1.0,Micro,1.0,True,ARCFIN,"[""Loan Against Property"", ""Personal Loan"", ""Business Loan"", ""Working Capital""]",Business Loan,"[""Loan Against Property"", ""Personal Loan"", ""Business Loan"", ""Working Capital""]","Kolkata, West Bengal",West Bengal,"[""West Bengal""]",Single State,False,NBFC,ROW-27,,,,1983,3,,,False,+91 33 2231 0001,arcfinance@gmail.com,gemini+csv_verified,success,
227,2026-02-24T16:22:17.910476,2026-02-24T16:22:17.910479,A R T Leasing Ltd,NBFC,http://artgroupofcompanies.in/leasing.php,,,,False,,"[""Vehicle Loan"", ""Business Loan""]",Leasing,"[""Vehicle Loan"", ""Business Loan""]","Kolkata, West Bengal",West Bengal,"[""West Bengal""]",Single State,False,NBFC,ROW-28,,,,1986,,,,False,+91 33 2237 0000 / 0001 / 0002,artleasing@artgroupofcompanies.in,gemini+csv_verified,success,
228,2026-02-24T16:22:29.776890,2026-02-24T16:22:29.776893,Aarchi Consultancy (P) Ltd,NBFC,https://aarchi-consultancy-pvt-ltd.charteredone.com/U74140WB1993PTC060953,,,,False,,[],Consultancy Services,[],"Kolkata, West Bengal",West Bengal,"[""West Bengal""]",Single State,False,,ROW-73,,,,1993,,,,False,,aarchiconsultancy@gmail.com,gemini+csv_verified,success,
229,2026-02-24T16:22:45.043120,2026-02-24T16:22:45.043123,Aashrit Capital Limited,NBFC,http://aashritcapital.com/,,Micro,100000.0,False,,"[""Business Loan"", ""Personal Loan"", ""Loan Against Property"", ""Working Capital"", ""MSME Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Education Loan"", ""Micro Loan"", ""Home Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Agriculture Loan""]",Loans,"[""Business Loan"", ""Personal Loan"", ""Loan Against Property"", ""Working Capital"", ""MSME Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Education Loan"", ""Micro Loan"", ""Home Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Agriculture Loan""]","New Delhi, Delhi",Delhi,"[""Delhi""]",Single State,False,NBFC,ROW-83,,,,2019,,,,False,+91-11-41000000,info@aashritcapital.com,gemini+csv_verified,success, | Invalid AUM value
230,2026-02-24T16:22:59.782276,2026-02-24T16:22:59.782278,Aasman Kamraz Leasing & Hire Purchase Company Pvt Ltd,NBFC,https://company.vakilsearch.com/aasman-kamraz-leasing-hire-purchase-company-private-limited/U65921JK1997PTC001645,,,,False,,"[""Vehicle Loan"", ""Business Loan"", ""MSME Loan"", ""Consumer Durable Loan""]",Leasing and Hire Purchase,"[""Vehicle Loan"", ""Business Loan"", ""MSME Loan"", ""Consumer Durable Loan""]","Jammu, Jammu & Kashmir",Jammu & Kashmir,"[""Jammu & Kashmir""]",Single State,False,NBFC,ROW-85,,,,1997,,,,False,,,gemini+csv_verified,success,
231,2026-02-24T16:23:12.170735,2026-02-24T16:23:12.170738,Abha Property Project Limited,NBFC,https://abhaproperty.in/,,,,False,,[],Real Estate Development,[],"Lucknow, Uttar Pradesh",Uttar Pradesh,"[""Uttar Pradesh""]",Single State,False,,ROW-98,,,,,,,,False,+91 91400 00000,info@abhaproperty.in,gemini+csv_verified,success,
233,2026-02-24T16:24:02.063354,2026-02-24T16:24:02.063358,Abhishek Capital Services (P) Ltd,NBFC,http://www.abhisheksecurities.com/,,,,False,,"[""Business Loan"", ""Personal Loan"", ""Loan Against Property"", ""Home Loan"", ""Gold Loan"", ""Vehicle Loan""]",Financial Services,"[""Business Loan"", ""Personal Loan"", ""Loan Against Property"", ""Home Loan"", ""Gold Loan"", ""Vehicle Loan""]","New Delhi, Delhi",Delhi,"[""Delhi"", ""Haryana"", ""Uttar Pradesh"", ""Rajasthan""]",Regional,False,NBFC,ROW-117,,,,1995,,,,False,011-45000000,info@abhisheksecurities.com,gemini+csv_verified,success,
234,2026-02-24T16:24:40.580294,2026-02-24T16:24:40.580296,Abhiyan Capital (India) Private Limited {Earlier known as Dowell Fiscal Services Private Limited},NBFC,https://www.abhiyancapital.com/,1.0,Micro,0.0,False,,"[""MSME Loan"", ""Personal Loan"", ""Business Loan""]",Loans,"[""MSME Loan"", ""Personal Loan"", ""Business Loan""]","New Delhi, Delhi",Delhi,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,NBFC,ROW-125,,,,1995,,,,False,+91 11 4100 0000,info@abhiyancapital.com,gemini+csv_verified,success,
