id,created_at,last_updated,company_name,company_type,website,aum_crores,aum_category,last_year_revenue,is_listed,stock_symbol,primary_loan_segments,primary_product,product_types,hq_location,hq_state,operating_states,operating_intensity,pan_india,rbi_category,rbi_registration_number,recent_funding,recent_funding_amount,recent_funding_year,established_year,employee_count,branch_count,ticket_size_min,ticket_size_max,has_subsidiaries,phone,email,rural_presence,data_source,extraction_status,quality_score,data_hash,error,rbi_status,rbi_verified_name,regulatory_tier,phone_valid,email_valid,email_domain_matches,segment_category_mismatch,pan_india_suspect,financial_source,geo_source,contact_source,regulatory_source,onboarding_tier
551,2026-04-03T00:51:16.230848,2026-04-03T00:51:16.227060,121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited),NBFC,https://121finance.com,,,,False,,"[""Business Loan"", ""MSME Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Working Capital""]",Business Loan,"[""Business Loan"", ""MSME Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Working Capital""]","Jaipur, Rajasthan",Rajasthan,"[""Rajasthan""]",Single State,False,,,,,,1995,,,,,False,+919314121121,info@121finance.com,False,csv+gemini+scraper,success,0.39,866a34a6365bec988be6,RBI registration number missing — needs manual review,unverified,,Factor,True,True,True,False,False,gemini,scraper_verified,scraper_verified,csv_provided,pending_review
552,2026-04-03T00:51:37.097063,2026-04-03T00:51:37.095441,4Fin Finance Private Limited,NBFC,https://4fin.in,,,,False,,"[""MSME Loan"", ""Working Capital""]",MSME Loan,"[""MSME Loan"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Delhi"", ""Maharashtra""]",Regional,False,,N.13.02437,,,,2017,,,,,False,+918956077440,contact@4fin.co.in,False,csv+gemini+scraper,success,0.49,a8fa9ef62406ef843f8f,,unverified,,ND,True,True,False,False,False,gemini,scraper_verified,scraper_verified,csv_provided,provisional_lender
553,2026-04-03T00:51:54.757518,2026-04-03T00:51:54.750111,A R C Finance Ltd,NBFC,http://www.arcfinance.in,10.0,Micro,0.01,True,ARCFIN,"[""MSME Loan""]",MSME Loan,"[""MSME Loan""]","Kolkata, West Bengal",West Bengal,"[""West Bengal""]",Single State,False,,,,,,1983,,,,,False,9830286229,arcfincorp@gmail.com,False,csv+gemini+scraper,success,0.4,d5a0c1e520bd3a5215b0,RBI registration number missing — needs manual review,unverified,,ND-BL-Small,True,True,False,False,False,gemini,scraper_verified,scraper_verified,csv_provided,pending_review
554,2026-04-03T00:52:15.943145,2026-04-03T00:52:15.936302,A R T Leasing Ltd,NBFC,http://artgroupofcompanies.in/leasing.php,,,,False,,"[""Business Loan"", ""Gold Loan"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan""]",Business Loan,"[""Business Loan"", ""Gold Loan"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan""]","Kolkata, West Bengal",West Bengal,"[""West Bengal""]",Single State,False,,,,,,2001,,19,,,False,+913322110000,info@artgroupofin.com,False,csv+gemini,success,0.38,852ee70da26a900daddf,RBI registration number missing — needs manual review,unverified,,ND,False,True,False,False,False,gemini,gemini,gemini_inferred,csv_provided,pending_review
555,2026-04-03T00:53:05.339267,2026-04-03T00:53:05.329532,Aasman Kamraz Leasing & Hire Purchase Company Pvt Ltd,NBFC,https://company.vakilsearch.com/aasman-kamraz-leasing-hire-purchase-company-private-limited/U65921JK1997PTC001645,,,,False,,"[""Home Loan""]",Home Loan,"[""Home Loan""]",Akhnoor,,"[""Tamil Nadu""]",Single State,False,,,,,,1997,,,,,False,,pankajsehgalpfc@rediffmail.com,False,csv+gemini+scraper,success,0.27,9ee575a7375720fe1668,RBI registration number missing — needs manual review,unverified,,unknown,False,True,False,False,False,gemini,scraper_verified,scraper_verified,csv_provided,pending_review
556,2026-04-03T00:53:33.228757,2026-04-03T00:53:33.216402,Abhani Securities  Pvt.  Ltd.,NBFC,https://www.prabhatsecuritiesltd.co.in,,,,False,,"[""MSME Loan"", ""Rural Loan"", ""Working Capital""]",MSME Loan,"[""MSME Loan"", ""Rural Loan"", ""Working Capital""]","Ahmedabad, Gujarat",Gujarat,"[""Gujarat"", ""Uttar Pradesh""]",Regional,False,,,,,,1995,,,,,False,+915122526347,info@prabhatsecuritiesltd.co.in,False,csv+gemini+scraper,success,0.39,c755983e64e4d8d9137c,RBI registration number missing — needs manual review,unverified,,unknown,True,True,False,False,False,gemini,scraper_verified,scraper_verified,csv_provided,pending_review
557,2026-04-03T00:54:15.600405,2026-04-03T00:54:15.597557,Abhiyan Capital (India) Private Limited {Earlier known as Dowell Fiscal Services Private Limited},NBFC,https://www.abhiyancapital.com,,,,False,,"[""Business Loan"", ""Loan Against Property"", ""MSME Loan""]",Business Loan,"[""Business Loan"", ""Loan Against Property"", ""MSME Loan""]","Mumbai, Maharashtra",Maharashtra,"[""Haryana"", ""Maharashtra"", ""Rajasthan"", ""Uttar Pradesh"", ""Uttarakhand""]",Regional,False,,,,,,1995,,40,,,False,918448995600,contactus@abhiyancapital.com,True,csv+gemini+scraper,success,0.44,a2ac71f6e566da41e6f5,RBI registration number missing — needs manual review,unverified,,ND,False,True,True,False,False,gemini,scraper_verified,scraper_verified,csv_provided,pending_review
558,2026-04-03T00:54:33.322649,2026-04-03T00:54:33.310689,ABT Finance Limited,NBFC,https://abt-finance-limited.charteredone.com/U65921TZ1985PLC001575,,,,False,,"[""MSME Loan""]",MSME Loan,"[""MSME Loan""]","Coimbatore, Tamil Nadu",Tamil Nadu,"[""Tamil Nadu""]",Single State,False,,N.07.00001,,,,1985,,,,,False,04222314000,abtfin@gmail.com,False,csv+gemini,success,0.39,3e55e81cce96f875f959,,unverified,,ND,True,True,False,False,False,gemini,gemini,gemini_inferred,csv_provided,pending_review
559,2026-04-03T00:54:58.561112,2026-04-03T00:54:58.558452,Accord Securities  Ltd.,NBFC,https://www.accordsecurities.com,,,,False,,"[""Personal Loan""]",Personal Loan,"[""Personal Loan""]","Delhi, Delhi",Delhi,"[""Delhi""]",Single State,False,,,,,,1994,,,,,False,+911147000000,info@accordsecurities.com,False,csv+gemini+scraper,success,0.36,0c8fe7e478c1d999812b,RBI registration number missing — needs manual review,unverified,,ND,False,True,True,False,False,gemini,scraper_verified,gemini_inferred,csv_provided,pending_review
560,2026-04-03T00:55:38.932853,2026-04-03T00:55:38.930067,Accredut Finance And Investment Private Limited,NBFC,https://www.accredutfinance.com,,,,False,,"[""Business Loan"", ""Education Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Working Capital""]",Business Loan,"[""Business Loan"", ""Education Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Maharashtra""]",Single State,False,,,,,,2013,,,,,False,+022630703000,info@accredutfinance.com,False,csv+gemini+scraper,success,0.41,a89a1c2931920b1f7242,RBI registration number missing — needs manual review,unverified,,ND,False,True,True,False,False,gemini,scraper_verified,scraper_verified,csv_provided,pending_review
