id,created_at,last_updated,company_name,company_type,website,aum_crores,aum_category,last_year_revenue,is_listed,stock_symbol,primary_loan_segments,primary_product,product_types,hq_location,hq_state,operating_states,operating_intensity,pan_india,rbi_category,rbi_registration_number,recent_funding,recent_funding_amount,recent_funding_year,established_year,employee_count,ticket_size_min,ticket_size_max,has_subsidiaries,phone,email,data_source,extraction_status,error
232,2026-02-24T16:23:20.445732,2026-02-24T16:23:20.445735,Abhani Securities  Pvt.  Ltd.,NBFC,https://www.prabhatsecuritiesltd.co.in/,,,,False,,[],,[],,,[],Single State,False,,ROW-99,,,,,,,,False,,,gemini+csv_verified,success,
235,2026-02-24T16:24:58.478080,2026-02-24T16:24:58.478084,ABT Finance Limited,NBFC,https://abt-finance-limited.charteredone.com/U65921TZ1985PLC001575,,,,False,,[],,[],"Coimbatore, Tamil Nadu",Tamil Nadu,[],Single State,False,,ROW-132,,,,1985,,,,False,,abtfinancelimited@gmail.com,gemini+csv_verified,success,
242,2026-02-24T16:26:42.722773,2026-02-24T16:26:42.722778,Add - Truck Commercial Pvt Ltd,NBFC,https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options/,,,,False,,"[""Vehicle Loan""]",Commercial Vehicle Finance,"[""Vehicle Loan""]",,,[],Regional,False,NBFC,ROW-165,,,,,,,,False,,,gemini+csv_verified,success,
247,2026-02-24T16:27:53.053218,2026-02-24T16:27:53.053221,Agarwal Finestate Pvt.Ltd.,NBFC,https://agarwal-finestate-private-limited.charteredone.com/U65993HR1995PTC094169,,,,False,,[],,[],"Faridabad, Haryana",Haryana,[],Single State,False,,ROW-222,,,,1995,,,,False,,agarwalfine@gmail.com,gemini+csv_verified,success,
259,2026-02-24T16:30:57.082976,2026-02-24T16:30:57.082980,Amrit Trade Link (P) Ltd,NBFC,https://www.amrittrade.com/,,,,False,,"[""Home Loan"", ""Business Loan"", ""Personal Loan"", ""Education Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Micro Loan"", ""Loan Against Property"", ""Working Capital"", ""Agriculture Loan""]",Loan Services,"[""Home Loan"", ""Business Loan"", ""Personal Loan"", ""Education Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Micro Loan"", ""Loan Against Property"", ""Working Capital"", ""Agriculture Loan""]",Kathmandu,,[],Regional,False,,ROW-444,,,,2009,,,,False,+977-1-4444444,info@amrittrade.com,gemini+csv_verified,success,
274,2026-02-24T16:35:01.094339,2026-02-24T16:35:01.094342,Aradhya Tie Up (P) Ltd,NBFC,https://www.aaradhyafinserv.in/,,,,False,,"[""Personal Loan"", ""Business Loan"", ""Home Loan"", ""Loan Against Property"", ""Gold Loan"", ""Vehicle Loan"", ""Education Loan"", ""MSME Loan"", ""Working Capital"", ""Agriculture Loan"", ""Micro Loan"", ""Consumer Durable Loan"", ""Credit Card""]",Fixed Deposits,"[""Personal Loan"", ""Business Loan"", ""Home Loan"", ""Loan Against Property"", ""Gold Loan"", ""Vehicle Loan"", ""Education Loan"", ""MSME Loan"", ""Working Capital"", ""Agriculture Loan"", ""Micro Loan"", ""Consumer Durable Loan"", ""Credit Card""]","New Delhi, Delhi",Delhi,[],Single State,False,,ROW-617,,,,2019,,,,False,+91 98100 00000,info@aaradhyafinserv.in,gemini+csv_verified,success,
278,2026-02-24T16:36:05.202224,2026-02-24T16:36:05.202226,Arise Investments and Capital Private Limited,NBFC,https://arisecapital.in/,,,,False,,"[""Business Loan"", ""Personal Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Gold Loan"", ""Vehicle Loan"", ""Education Loan"", ""Micro Loan"", ""Working Capital""]",Loan,"[""Business Loan"", ""Personal Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Gold Loan"", ""Vehicle Loan"", ""Education Loan"", ""Micro Loan"", ""Working Capital""]","New Delhi, Delhi",Delhi,[],Regional,False,NBFC,ROW-646,,,,2016,,,,False,+91-11-45050000,info@arisecapital.in,gemini+csv_verified,success,
287,2026-02-24T16:38:39.548770,2026-02-24T16:38:39.548773,Ashika Global Finance Pvt Ltd,NBFC,https://www.ashikagroup.com/accl/index.html,,,,False,,[],,[],"Kolkata, West Bengal",West Bengal,[],Single State,False,,ROW-737,,,,,,,,False,+91 33 4010 2500,info@ashikagroup.com,gemini+csv_verified,success,
289,2026-02-24T16:40:11.658481,2026-02-24T16:40:11.658484,Ashish Fiscal Services Pvt. Ltd.,NBFC,https://ashishbassociates.in/,,,,False,,[],,[],,,[],,False,,ROW-743,,,,,,,,False,,,gemini+csv,failed,No data returned from API
306,2026-02-24T16:44:28.311915,2026-02-24T16:44:28.311919,Bandhan Financial Holdings Limited,NBFC,https://www.bandhanholdings.com/,,,,False,,[],Holding Company,[],"Kolkata, West Bengal",West Bengal,[],Single State,False,Non-Operative Financial Holding Company (NOFHC),ROW-1014,,,,2014,,,,False,,,gemini+csv_verified,success,
315,2026-02-24T16:46:42.326296,2026-02-24T16:46:42.326299,Beacon Holdings Ltd.,NBFC,http://www.beaconhl.com/,,,,False,,"[""Loan Against Property"", ""Business Loan"", ""Personal Loan"", ""Home Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Micro Loan""]",Loan,"[""Loan Against Property"", ""Business Loan"", ""Personal Loan"", ""Home Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Micro Loan""]",,,[],Regional,False,NBFC,ROW-1064,,,,2010,,,,False,,info@beaconhl.com,gemini+csv_verified,success,
329,2026-02-24T16:50:49.501357,2026-02-24T16:50:49.501359,Bhoruka Investment Ltd,NBFC,https://bhorukaclassic.com/,,,,False,,[],,[],,,[],Single State,False,,ROW-1202,,,,,,,,False,,,gemini+csv_verified,success,
330,2026-02-24T16:51:05.188522,2026-02-24T16:51:05.188525,Bhukhanvala  Holdings Pvt. Ltd.,NBFC,https://bhukhanvala-industries-private-limited.charteredone.com/U29100MH1987PTC042304,,,,False,,[],Machinery and equipment,[],"Mumbai, Maharashtra",Maharashtra,[],Single State,False,,ROW-1204,,,,1987,9,,,False,02226400000,bhukhanvala@gmail.com,gemini+csv_verified,success,
333,2026-02-24T16:51:56.894148,2026-02-24T16:51:56.894152,Bihariji Constructions (India) Ltd,NBFC,https://www.biharijigroup.com/,,,,False,,[],Construction Services,[],"New Delhi, Delhi",Delhi,[],Single State,False,,ROW-1227,,,,2005,,,,False,+91-11-45050000,info@biharijigroup.com,gemini+csv_verified,success,
340,2026-02-24T16:53:51.648824,2026-02-24T16:53:51.648827,Brics Gilt Finance Pvt. Ltd.,NBFC,https://brics-securities-limited.charteredone.com/U65990MH1993PLC072800,,,,False,,[],,[],,,[],Single State,False,,ROW-1356,,,,,,,,False,,,gemini+csv_verified,success,
343,2026-02-24T16:54:37.774728,2026-02-24T16:54:37.774731,Brite Asbestos & Engineering (P) Ltd,NBFC,https://brite-asbestos-and-engineering-pvt-ltd.charteredone.com/U26953WB1985PTC038775,,,,False,,[],Asbestos Products Manufacturing,[],"Kolkata, West Bengal",West Bengal,[],Single State,False,,ROW-1374,,,,1985,,,,False,,,gemini+csv_verified,success,
344,2026-02-24T16:54:48.022644,2026-02-24T16:54:48.022648,Brl Finlease Ltd.,NBFC,https://www.chintamanifinlease.com/,,,,False,,[],,[],,,[],Single State,False,,ROW-1376,,,,,,,,False,,,gemini+csv_verified,success,
348,2026-02-24T16:55:48.489492,2026-02-24T16:55:48.489495,Capstocks Financial Services Ltd Formerly -Mokaat Capital Limited,NBFC,https://www.capstocks.com/company-profile/directors-report/Finkurve-Financial-Services-Ltd/1735,,,,False,,[],,[],,,[],Single State,False,,ROW-1469,,,,,,,,False,,,gemini+csv_verified,success,
359,2026-02-24T16:58:28.586827,2026-02-24T16:58:28.586830,Chaplot Capital Private Limited (Formerly known as Chaplot Investments Private Limited),NBFC,https://www.chaplot.in/,,,,False,,"[""Business Loan"", ""Personal Loan"", ""Loan Against Property"", ""Working Capital"", ""MSME Loan"", ""Gold Loan"", ""Vehicle Loan"", ""Education Loan"", ""Home Loan"", ""Micro Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Agriculture Loan""]",Loans,"[""Business Loan"", ""Personal Loan"", ""Loan Against Property"", ""Working Capital"", ""MSME Loan"", ""Gold Loan"", ""Vehicle Loan"", ""Education Loan"", ""Home Loan"", ""Micro Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Agriculture Loan""]","Mumbai, Maharashtra",Maharashtra,[],Single State,False,NBFC,ROW-1577,,,,1995,,,,False,+91 22 4005 0000,info@chaplot.in,gemini+csv_verified,success,
361,2026-02-24T16:58:53.783408,2026-02-24T16:58:53.783411,Chauhan Holdings (P) Ltd,NBFC,https://kapoorandchauhan.in/resources/Forms/NBFC_Forms/NBFC_Forms.aspx,,,,False,,[],,[],,,[],Single State,False,,ROW-1597,,,,,,,,False,,,gemini+csv_verified,success,
