lender_id,lender_name,product_name,loan_type,loan_amount_min,loan_amount_max,credit_score_min,credit_score_max,min_age,max_age,employment_types,min_monthly_income,min_annual_turnover,min_business_vintage,interest_rate_min,interest_rate_max,tenure_min,tenure_max,processing_fee,prepayment_allowed,collateral_required,collateral_types,eligible_states,eligibility_notes,completeness_score,data_source,source_url,approval_status,source_confidence,version,product_name_normalized,review_priority,kyc_pan_required,kyc_aadhaar_required,kyc_gstin_required,kyc_itr_years,extraction_timestamp
551,121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited),Business Loan,Business Loan,,,,,,,[],,,,,,,,,,,[],"[""Rajasthan""]",,0.1,gemini,https://121finance.com,needs_review,low,1,business loan,medium,,,,,2026-04-03T14:47:41.311278
551,121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited),MSME Loan,MSME Loan,,,,,,,[],,,,,,,,,,,[],"[""Rajasthan""]",,0.1,gemini,https://121finance.com,needs_review,low,1,msme loan,medium,,,,,2026-04-03T14:47:41.311403
551,121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited),Rural Loan,Rural Loan,,,,,,,[],,,,,,,,,,,[],"[""Rajasthan""]",,0.1,gemini,https://121finance.com,needs_review,low,1,rural loan,medium,,,,,2026-04-03T14:47:41.311498
551,121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited),Supply Chain Finance,Supply Chain Finance,,,,,,,[],,,,,,,,,,,[],"[""Rajasthan""]",,0.1,gemini,https://121finance.com,needs_review,low,1,supply chain finance,medium,,,,,2026-04-03T14:47:41.311562
551,121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited),Working Capital,Working Capital,,,,,,,[],,,,,,,,,,,[],"[""Rajasthan""]",,0.1,gemini,https://121finance.com,needs_review,low,1,working capital,medium,,,,,2026-04-03T14:47:41.311619
552,4Fin Finance Private Limited,Working Capital,Working Capital,,,,,,,[],,,,,,,,,,,[],"[""Delhi"", ""Maharashtra""]",,0.1,gemini,https://4fin.in,needs_review,low,1,working capital,medium,,,,,2026-04-03T14:47:57.797938
553,A R C Finance Ltd,MSME Loan,MSME Loan,,,,,,,[],,,,,,,,,,,[],"[""West Bengal""]",,0.1,gemini,http://www.arcfinance.in,needs_review,low,1,msme loan,medium,,,,,2026-04-03T14:48:10.926052
554,A R T Leasing Ltd,Business Loan,Business Loan,,,,,,,[],,,,,,,,,,,[],[],,0.0,gemini,http://artgroupofcompanies.in/leasing.php,needs_review,low,1,business loan,medium,,,,,2026-04-03T14:48:28.540208
554,A R T Leasing Ltd,Gold Loan,Gold Loan,,,,,,,[],,,,,,,,,,True,"[""gold""]",[],,0.0,gemini,http://artgroupofcompanies.in/leasing.php,needs_review,low,1,gold loan,medium,,,,,2026-04-03T14:48:28.540330
554,A R T Leasing Ltd,Personal Loan,Personal Loan,,,,,,,[],,,,,,,,,,False,[],[],,0.0,gemini,http://artgroupofcompanies.in/leasing.php,needs_review,low,1,personal loan,medium,,,,,2026-04-03T14:48:28.540402
554,A R T Leasing Ltd,Rural Loan,Rural Loan,,,,,,,[],,,,,,,,,,,[],[],,0.0,gemini,http://artgroupofcompanies.in/leasing.php,needs_review,low,1,rural loan,medium,,,,,2026-04-03T14:48:28.540467
557,Abhiyan Capital (India) Private Limited {Earlier known as Dowell Fiscal Services Private Limited},Business Loan,Business Loan,,50.0,,,,,"[""business"", ""self_employed_non_professional""]",,,3,,,,36,,,False,[],"[""Haryana"", ""Maharashtra"", ""Rajasthan"", ""Uttar Pradesh"", ""Uttarakhand""]",,0.4,gemini,https://www.abhiyancapital.com,needs_review,medium,1,business loan,low,True,True,,,2026-04-03T14:49:37.101088
557,Abhiyan Capital (India) Private Limited {Earlier known as Dowell Fiscal Services Private Limited},Loan Against Property,Loan Against Property,,500.0,,,,,"[""salaried"", ""self-employed""]",,,,,,,180,,,True,[],"[""Haryana"", ""Maharashtra"", ""Rajasthan"", ""Uttar Pradesh"", ""Uttarakhand""]",,0.4,gemini,https://www.abhiyancapital.com,needs_review,medium,1,loan against property,low,True,True,,,2026-04-03T14:49:37.101217
557,Abhiyan Capital (India) Private Limited {Earlier known as Dowell Fiscal Services Private Limited},MSME Loan,MSME Loan,,50.0,,,,,"[""business"", ""self_employed_non_professional""]",,,3,,,,36,,,False,[],"[""Haryana"", ""Maharashtra"", ""Rajasthan"", ""Uttar Pradesh"", ""Uttarakhand""]",,0.4,gemini,https://www.abhiyancapital.com,needs_review,medium,1,msme loan,low,True,True,,,2026-04-03T14:49:37.101295
559,Accord Securities  Ltd.,Personal Loan,Personal Loan,,,,,,,[],,,,,,,,,,,[],"[""Delhi""]",,0.1,gemini,https://www.accordsecurities.com,needs_review,low,1,personal loan,medium,,,,,2026-04-03T14:50:11.727410
560,Accredut Finance And Investment Private Limited,Working Capital,Working Capital,,,,,,,"[""self_employed_non_professional"", ""business""]",,,,,,,,,,,[],[],,0.1,heuristic,https://www.accredutfinance.com,needs_review,low,1,working capital,medium,,,,,2026-04-03T14:50:38.072150
560,Accredut Finance And Investment Private Limited,Business Loan,Business Loan,,,,,,,"[""self_employed_non_professional"", ""business""]",,,,,,,,,,,[],[],,0.1,heuristic,https://www.accredutfinance.com,needs_review,low,1,business loan,medium,,,,,2026-04-03T14:50:38.072252
560,Accredut Finance And Investment Private Limited,MSME Loan,MSME Loan,,,,,,,"[""self_employed_non_professional"", ""business""]",,,,,,,,,,,[],[],,0.1,heuristic,https://www.accredutfinance.com,needs_review,low,1,msme loan,medium,,,,,2026-04-03T14:50:38.072312
560,Accredut Finance And Investment Private Limited,Education Loan,Education Loan,,,,,,,"[""salaried"", ""self-employed""]",,,,,,,,,,,[],[],,0.1,heuristic,https://www.accredutfinance.com,needs_review,low,1,education loan,medium,,,,,2026-04-03T14:50:38.072365
560,Accredut Finance And Investment Private Limited,Loan Against Property,Loan Against Property,,,,,,,[],,,,,,,,,,,[],[],,0.0,heuristic,https://www.accredutfinance.com,needs_review,low,1,loan against property,medium,,,,,2026-04-03T14:50:38.072413
560,Accredut Finance And Investment Private Limited,Personal Loan,Personal Loan,,,,,,,"[""salaried"", ""self-employed""]",,,,,,,,,,,[],[],,0.1,heuristic,https://www.accredutfinance.com,needs_review,low,1,personal loan,medium,,,,,2026-04-03T14:50:38.072464
561,Ace Finlease Private Limited,Rural Loan,Rural Loan,,,,,,,"[""agriculture"", ""business"", ""self_employed_non_professional""]",,,,,,,,,,,[],"[""Kerala""]",,0.2,gemini,https://acegroup.in/companies,needs_review,low,1,rural loan,medium,,,,,2026-04-03T14:51:01.567492
561,Ace Finlease Private Limited,Two Wheeler Loan,Two Wheeler Loan,,,,,,,[],,,,,,,,,,True,[],"[""Kerala""]",,0.1,gemini,https://acegroup.in/companies,needs_review,low,1,two wheeler loan,medium,,,,,2026-04-03T14:51:01.567602
562,Add - Truck Commercial Pvt Ltd,BharatBenz New Commercial Vehicle Loan,Vehicle Loan,,,,,,,"[""business"", ""self_employed_non_professional""]",,,,,,,,,,True,[],[],Financing for new BharatBenz trucks and buses.,0.2,gemini,https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options,needs_review,low,1,bharatbenz new commercial vehicle loan,medium,True,True,True,,2026-04-03T14:51:35.504749
562,Add - Truck Commercial Pvt Ltd,BharatBenz Used Commercial Vehicle Loan,Vehicle Loan,,,,,,,"[""business"", ""self_employed_non_professional""]",,,,,,,,,,True,[],[],Financing for used BharatBenz trucks and buses.,0.2,gemini,https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options,needs_review,low,1,bharatbenz used commercial vehicle loan,medium,True,True,True,,2026-04-03T14:51:35.504870
562,Add - Truck Commercial Pvt Ltd,BharatBenz Parts & Services Financing,Working Capital,,,,,,,"[""business"", ""self_employed_non_professional""]",,,,,,,,,,,[],[],Financing for BharatBenz spare parts and services.,0.2,gemini,https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options,needs_review,low,1,bharatbenz parts & services financing,medium,True,True,True,,2026-04-03T14:51:35.504939
563,Advik Capital Ltd,Two Wheeler Loan,Two Wheeler Loan,,,,,,,[],,,,,,,,,,,[],"[""Maharashtra""]",,0.1,gemini,https://www.advik.co.in,needs_review,low,1,two wheeler loan,medium,,,,,2026-04-03T14:52:03.482515
564,Aeroflex Finance Private Limited,Business Loan,Business Loan,,50.0,,,21,65,"[""business""]",,12.0,3,,,,60,,True,False,[],[],,0.3,gemini,https://aeroflexfinance.com,needs_review,medium,1,business loan,low,True,True,True,,2026-04-03T14:52:32.885758
564,Aeroflex Finance Private Limited,Personal Loan,Personal Loan,,10.0,,,21,60,"[""salaried"", ""self-employed""]",20.0,,,,,,60,,True,False,[],[],,0.3,gemini,https://aeroflexfinance.com,needs_review,medium,1,personal loan,low,True,True,,,2026-04-03T14:52:32.885817
564,Aeroflex Finance Private Limited,Working Capital,Working Capital,,100.0,,,,,"[""business""]",,25.0,3,,,,,,True,,[],[],,0.2,gemini,https://aeroflexfinance.com,needs_review,low,1,working capital,medium,True,True,True,,2026-04-03T14:52:32.885852
565,Agarwal Assignments Pvt. Ltd.,MSME Loan,MSME Loan,,,,,,,[],,,,,,,,,,,[],"[""Delhi""]",,0.1,gemini,https://www.agarwalassignments.com,needs_review,low,1,msme loan,medium,,,,,2026-04-03T14:52:49.864452
566,Agarwal Fiscal Private Limited,MSME Loan,MSME Loan,,,,,,,[],,,,,,,,,,,[],"[""Delhi""]",,0.1,gemini,https://www.agarwalassignments.com,needs_review,low,1,msme loan,medium,,,,,2026-04-03T14:53:08.200783
567,Agf Finlease Pvt. Ltd.,Business Loan,Business Loan,,,,,,,[],,,,,,,,,,,[],"[""Delhi""]",,0.1,gemini,https://agffinlease.com,needs_review,low,1,business loan,medium,,,,,2026-04-03T14:53:30.008594
567,Agf Finlease Pvt. Ltd.,Loan Against Property,Loan Against Property,,,,,,,[],,,,,,,,,,True,[],"[""Delhi""]",,0.1,gemini,https://agffinlease.com,needs_review,low,1,loan against property,medium,,,,,2026-04-03T14:53:30.008690
567,Agf Finlease Pvt. Ltd.,MSME Loan,MSME Loan,,,,,,,[],,,,,,,,,,,[],"[""Delhi""]",,0.1,gemini,https://agffinlease.com,needs_review,low,1,msme loan,medium,,,,,2026-04-03T14:53:30.008743
567,Agf Finlease Pvt. Ltd.,Personal Loan,Personal Loan,,,,,,,[],,,,,,,,,,,[],"[""Delhi""]",,0.1,gemini,https://agffinlease.com,needs_review,low,1,personal loan,medium,,,,,2026-04-03T14:53:30.008786
568,Agrim Fincap Pvt.Ltd.,Personal Loan,Personal Loan,,5.0,,,21,60,"[""salaried"", ""self-employed""]",15.0,,,,,,36,,,False,[],"[""Delhi"", ""Uttar Pradesh""]",,0.4,gemini,https://agrimfincap.com,needs_review,medium,1,personal loan,low,True,True,False,,2026-04-03T14:53:52.764880
568,Agrim Fincap Pvt.Ltd.,Business Loan,Business Loan,,10.0,,,,,"[""business""]",,,2,,,,60,,,False,[],"[""Delhi"", ""Uttar Pradesh""]",,0.4,gemini,https://agrimfincap.com,needs_review,medium,1,business loan,low,True,True,True,2,2026-04-03T14:53:52.764995
568,Agrim Fincap Pvt.Ltd.,Rural Loan,Rural Loan,,3.0,,,,,"[""agriculture"", ""business"", ""self-employed""]",,,,,,,24,,,False,[],"[""Delhi"", ""Uttar Pradesh""]",Applicant must be residing in rural or semi-urban areas.,0.5,gemini,https://agrimfincap.com,needs_review,medium,1,rural loan,low,True,True,False,,2026-04-03T14:53:52.765073
569,Agro Indus Credits Limited (Formerly Known As Agro Indus Finance And Leasing (India)Ltd,Gold Loan,Gold Loan,,,,,,,[],,,,,,,,,,True,"[""gold""]","[""Kerala"", ""Tamil Nadu""]",,0.1,gemini,https://www.agroindus.co.in,needs_review,low,1,gold loan,medium,,,,,2026-04-03T14:54:11.864026
569,Agro Indus Credits Limited (Formerly Known As Agro Indus Finance And Leasing (India)Ltd,Home Loan,Home Loan,,,,,,,[],,,,,,,,,,True,[],"[""Kerala"", ""Tamil Nadu""]",,0.1,gemini,https://www.agroindus.co.in,needs_review,low,1,home loan,medium,,,,,2026-04-03T14:54:11.864138
569,Agro Indus Credits Limited (Formerly Known As Agro Indus Finance And Leasing (India)Ltd,Vehicle Loan,Vehicle Loan,,,,,,,[],,,,,,,,,,True,"[""vehicle""]","[""Kerala"", ""Tamil Nadu""]",,0.1,gemini,https://www.agroindus.co.in,needs_review,low,1,vehicle loan,medium,,,,,2026-04-03T14:54:11.864203
571,Alpine Finlease Limited,Working Capital,Working Capital,,,,,,,"[""self_employed_non_professional"", ""business""]",,,,,,,,,,,[],[],,0.1,heuristic,https://alpinefinlease.com,needs_review,low,1,working capital,medium,,,,,2026-04-03T14:55:01.890548
571,Alpine Finlease Limited,Business Loan,Business Loan,,,,,,,"[""self_employed_non_professional"", ""business""]",,,,,,,,,,,[],[],,0.1,heuristic,https://alpinefinlease.com,needs_review,low,1,business loan,medium,,,,,2026-04-03T14:55:01.890647
571,Alpine Finlease Limited,MSME Loan,MSME Loan,,,,,,,"[""self_employed_non_professional"", ""business""]",,,,,,,,,,,[],[],,0.1,heuristic,https://alpinefinlease.com,needs_review,low,1,msme loan,medium,,,,,2026-04-03T14:55:01.890703
571,Alpine Finlease Limited,Consumer Durable Loan,Consumer Durable Loan,,,,,,,"[""salaried"", ""self-employed""]",,,,,,,,,,,[],[],,0.1,heuristic,https://alpinefinlease.com,needs_review,low,1,consumer durable loan,medium,,,,,2026-04-03T14:55:01.890753
571,Alpine Finlease Limited,Loan Against Property,Loan Against Property,,,,,,,[],,,,,,,,,,,[],[],,0.0,heuristic,https://alpinefinlease.com,needs_review,low,1,loan against property,medium,,,,,2026-04-03T14:55:01.890796
571,Alpine Finlease Limited,Personal Loan,Personal Loan,,,,,,,"[""salaried"", ""self-employed""]",,,,,,,,,,,[],[],,0.1,heuristic,https://alpinefinlease.com,needs_review,low,1,personal loan,medium,,,,,2026-04-03T14:55:01.890840
572,Amber Distributors (P) Ltd,Business Loan,Business Loan,,,,,,,[],,,,,,,,,,,[],"[""Delhi""]",,0.1,gemini,https://amberdistributors.com,needs_review,low,1,business loan,medium,,,,,2026-04-03T14:55:24.759568
