id,company_name,company_type,website,aum_crores,last_year_revenue,is_listed,stock_symbol,primary_loan_segments,primary_product,product_types,hq_location,hq_state,operating_states,operating_intensity,pan_india,rbi_category,rbi_registration_number,established_year,employee_count,branch_count,phone,email,quality_score,data_source,extraction_status,error,created_at,rbi_verified,rbi_status,rbi_merge_note,parent_bank,reg_validation_tier,phone_valid,email_valid,website_entity_match,financial_source,contact_source,geo_source,confidence_score,onboarding_tier,risk_flags,extraction_version,schema_version,validation_version
452,State Bank of India,PSU Bank,https://www.sbi.co.in/,,,True,SBIN,"[""Home Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Business Loan"", ""MSME Loan"", ""Agriculture Loan"", ""Education Loan"", ""Gold Loan"", ""Loan Against Property"", ""Working Capital""]",Banking Services,"[""Home Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Business Loan"", ""MSME Loan"", ""Agriculture Loan"", ""Education Loan"", ""Gold Loan"", ""Loan Against Property"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,PORATE,1955,232296,,,,0.8,scraper+gemini,success,,2026-04-03T10:11:10.975884,False,active,,,format_only,False,False,False,none,none,gemini,0.05,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
453,UCO Bank,PSU Bank,https://www.ucobank.com/,,,True,UCOBANK,"[""Home Loan"", ""Vehicle Loan"", ""Personal Loan"", ""Education Loan"", ""Gold Loan"", ""MSME Loan"", ""Agriculture Loan"", ""Loan Against Property"", ""Business Loan"", ""Credit Card"", ""Consumer Durable Loan""]",Retail Banking,"[""Home Loan"", ""Vehicle Loan"", ""Personal Loan"", ""Education Loan"", ""Gold Loan"", ""MSME Loan"", ""Agriculture Loan"", ""Loan Against Property"", ""Business Loan"", ""Credit Card"", ""Consumer Durable Loan""]","Kolkata, West Bengal",West Bengal,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,,1943,22967,,,,0.7,scraper+gemini,success,,2026-04-03T10:11:26.416865,False,active,,,format_only,False,False,True,none,none,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
454,Union Bank of India,PSU Bank,https://www.unionbankofindia.co.in,,,True,UNIONBANK,"[""Agriculture Loan"", ""Business Loan"", ""Consumer Durable Loan"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Consumer Durable Loan"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,PORATE,1919,76550,2333,,,0.8,scraper+gemini,success,,2026-04-03T10:11:55.012799,False,active,,,format_only,False,False,True,none,none,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
455,Bank of Baroda,PSU Bank,https://www.bankofbaroda.in/,,,True,BANKBARODA,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]","Vadodara, Gujarat",Gujarat,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,PORATES,1908,82190,,+917966296009,,0.9,scraper+gemini,success,,2026-04-03T10:12:17.843716,False,active,,,format_only,True,False,True,none,scraper_high,scraper_high,0.6,provisional_lender,"[""weak_rbi_validation""]",v4.0,bank_v2,v5
456,Bank of India,PSU Bank,https://www.bankofindia.co.in,,,True,BANKINDIA,"[""Home Loan"", ""Vehicle Loan"", ""Personal Loan"", ""Education Loan"", ""Gold Loan"", ""Loan Against Property"", ""MSME Loan"", ""Working Capital"", ""Agriculture Loan""]",Banking Services,"[""Home Loan"", ""Vehicle Loan"", ""Personal Loan"", ""Education Loan"", ""Gold Loan"", ""Loan Against Property"", ""MSME Loan"", ""Working Capital"", ""Agriculture Loan""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,,1906,45700,,,,0.7,scraper+gemini,success,,2026-04-03T10:12:33.221908,False,active,,,format_only,False,False,True,none,none,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
457,"Bank of Maharashtra, Lok Mangal",PSU Bank,https://bankofmaharashtra.in,,,True,BANKMAH,"[""MSME Loan"", ""Personal Loan"", ""Home Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Education Loan"", ""Loan Against Property"", ""Working Capital"", ""Agriculture Loan""]",,"[""MSME Loan"", ""Personal Loan"", ""Home Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Education Loan"", ""Loan Against Property"", ""Working Capital"", ""Agriculture Loan""]","Pune, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,,1935,13640,,,,0.7,scraper+gemini,success,,2026-04-03T10:16:11.719718,False,active,,,format_only,False,False,True,none,none,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
458,Canara Bank,PSU Bank,https://www.canarabank.com,,,True,CANBK,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan"", ""Working Capital""]","Bengaluru, Karnataka",Karnataka,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,PORATE,1906,86929,,,,0.8,scraper+gemini,success,,2026-04-03T10:16:32.390462,False,active,,,format_only,False,False,True,none,none,scraper_high,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
459,Central Bank of India,PSU Bank,https://www.centralbankofindia.co.in/,,,True,CENTRALBK,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Supply Chain Finance"", ""Vehicle Loan""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Supply Chain Finance"", ""Vehicle Loan""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,PORATE,1911,30000,,18002031911,,0.9,scraper+gemini,success,,2026-04-03T10:17:12.842149,False,active,,,format_only,False,False,True,none,scraper_high,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
460,Indian Overseas Bank,PSU Bank,https://www.iob.in,,,True,IOB,"[""Agriculture Loan"", ""Consumer Durable Loan"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Working Capital""]",,"[""Agriculture Loan"", ""Consumer Durable Loan"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Working Capital""]","Chennai, Tamil Nadu",Tamil Nadu,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,MORTGAGES,1937,20905,,18008904445,cybercell@iob.in,0.9,scraper+gemini,success,,2026-04-03T10:17:35.589983,False,active,,,format_only,False,True,False,none,scraper_high,gemini,0.3,provisional_lender,"[""weak_rbi_validation""]",v4.0,bank_v2,v5
461,Indian Bank,PSU Bank,https://www.indianbank.in,,,True,INDIANB,"[""Agriculture Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Vehicle Loan"", ""Working Capital""]","Chennai, Tamil Nadu",Tamil Nadu,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,PORATE,1907,41645,5967,7827170170,,0.9,scraper+gemini,success,,2026-04-03T10:17:59.265457,False,active,,,format_only,True,False,True,none,scraper_high,scraper_high,0.6,provisional_lender,"[""weak_rbi_validation""]",v4.0,bank_v2,v5
