2026-02-23 13:47:20 | INFO     | setup_logging:94 | Logging initialized: D:\Lender-Platform2\lender-platform\logs\nbfc_extraction_20260223_134720.log
2026-02-23 13:47:20 | INFO     | main:850 | ======================================================================
2026-02-23 13:47:20 | INFO     | main:851 | NBFC EXTRACTION - PRODUCTION v2.0
2026-02-23 13:47:20 | INFO     | main:852 | ======================================================================
2026-02-23 13:47:20 | INFO     | load_nbfc_csv:793 | Loaded 934 NBFCs from CSV
2026-02-23 13:47:20 | INFO     | load:310 | Loaded checkpoint: 1 processed
2026-02-23 13:47:20 | INFO     | main:893 | Processing NBFC ID 100: 4Fin Finance Private Limited
2026-02-23 13:47:24 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 13:47:34 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 13:47:34 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 1
2026-02-23 13:47:37 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 13:47:47 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 13:47:47 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 2
2026-02-23 13:47:50 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 13:48:00 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 13:48:00 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 3
2026-02-23 13:48:03 | DEBUG    | extract_with_gemini:556 | gemini-2.5-flash failed after 3 attempts
2026-02-23 13:48:03 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 13:48:03 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-flash-latest:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 404 None
2026-02-23 13:48:03 | DEBUG    | extract_with_gemini:496 | gemini-flash-latest not available
2026-02-23 13:48:03 | DEBUG    | extract_with_gemini:556 | gemini-flash-latest failed after 3 attempts
2026-02-23 13:48:03 | INFO     | main:893 | Processing NBFC ID 101: A R C Finance Ltd
2026-02-23 13:48:07 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 13:48:18 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 13:48:18 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 1
2026-02-23 13:48:21 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 13:48:31 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 13:48:31 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 2
2026-02-23 13:48:34 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 13:48:45 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 13:48:45 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 3
2026-02-23 13:48:48 | DEBUG    | extract_with_gemini:556 | gemini-2.5-flash failed after 3 attempts
2026-02-23 13:48:48 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 13:48:48 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-flash-latest:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 404 None
2026-02-23 13:48:48 | DEBUG    | extract_with_gemini:496 | gemini-flash-latest not available
2026-02-23 13:48:48 | DEBUG    | extract_with_gemini:556 | gemini-flash-latest failed after 3 attempts
2026-02-23 13:48:48 | INFO     | main:893 | Processing NBFC ID 102: A R T Leasing Ltd
2026-02-23 13:48:50 | WARNING  | main:949 | Interrupted by user
2026-02-23 13:48:50 | DEBUG    | save_results:836 | Saved 2 records to D:\Lender-Platform2\lender-platform\data\output\nbfc_extracted_verified.csv
2026-02-23 13:48:50 | INFO     | main:970 | Final stats: {'failed': 2}
